,Reason,Orders
89,Infringed Work — Clarity,3
90,Infringing Activities — Clarity,3
91,Claimant Address,3
92,Allegedly Infringed Works — Clarity,3
93,Pleading Form,3
94,Scope,3
95,Online Service Provider — Clarity,3
96,Misrepresentation Claim — Harm,3
97,Respondents — Clarity,3
98,Issue — Supplemental Documentation,3
99,Allegedly Infringed Works,3
100,B. Scope,2
101,Copyright Infringement — Clarity — Infringing Activity,2
102,A. Condition Precedent,2
103,Clarity — Respondents and Works Infringed,2
104,Supplemental Documents and Filings,2
105,Claimant Information — Clarity,2
106,Actual Claim or Controversy,2
107,Type of Work,2
108,Copyright Infringement—Registration,2
109,Claimant Name and Address,2
110,Claimant Representation,2
111,Content of Takedown Notice,2
112,Infringing Activities,2
113,Improper Relief,2
114,Respondent — Clarity,2
115,Misrepresentation Claim — False Statement,2
116,Copyright Infringement — Relief Sought,2
117,Respondent Address / Foreign Respondent,2
118,Misrepresentation Claim — Insufficiency,2
119,Copyright Infringement — Clarity,2
120,Copyright Infringement Claim — Co—owner,2
121,Copyright Infringement Claim — Element of Access,2
122,Copyright Infringement Claim — Respondent Information,2
123,Misrepresentation Claim — Elements,2
124,Copyright Infringement Claim — Relief Sought,2
125,Issue — Copyright Infringement Claim — Online Service Provider,2
126,Issue — Copyright Infringement Claim — Relief Sought,2
127,Issue — Misrepresentation Claim — Proper Respondent,2
128,Impermissible Claim — Patent Infringement,2
129,Issue — Copyright Infringement Claim — Permissible Remedies,2
130,Issue — Copyright Infringement Claim — Element of Access,2
131,Misrepresentation — Reliance,2
132,Misrepresentation — Respondent Clarity,2
133,Works Infringed — Registration Number,2
134,Work Infringed,2
135,Claim Form,2
136,Proper Respondent — Co—owner,2
137,Copyright Infringement Claim — Registration and Legal and Beneficial Ownership,2
138,Clarity — Work Infringed,2
139,Clarity — Respondent,2
140,Copyright Registration Number,2
141,Misrepresentation Claim — Respondent Clarity,2
142,Misrepresentation Claim — No Copyright Misrepresentation,2
143,Authorized Work (Sound Recording),1
144,Takedown Notice and Counter—Notice,1
145,Improper Claims — Relief,1
146,Respondent Information — Clarity,1
147,Counternotice,1
148,Substantial Similarly,1
149,Noninfringement Claim,1
150,Supporting Documentation,1
151,Legal or Beneficial Ownership (Musical Composition),1
152,Proper Respondent — Clarity,1
153,Alleged Infringing Activity — Clarity,1
154,Counternotice Description,1
155,Joint Ownership,1
156,Misrepresentation — Counternotice,1
157,Ownership,1
158,Authorship — Clarity,1
159,Proper Claimants,1
160,Pending Litigation,1
161,Proper RespondentPage 3,1
162,Copyright Infringement Claim — Impermissible Allegations,1
163,Issue — Improper Respondent,1
164,Relief Sought — Impermissible Remedy,1
165,Relief Sought — Previous Dispute,1
166,Issue — Designated Service Agent,1
167,Similarity,1
168,Current litigation,1
169,Copyright Infringement Claim — Allegations Unclear,1
170,Amended Claim Against the Uploader,1
171,Counter—Notice,1
172,Foreign Respondents,1
173,Work Infringed — Registration Information,1
174,Previous Litigation,1
175,How the respondent accused you of infringement,1
176,Designated Service Agent Address,1
177,Agreement,1
178,Which work the respondent says you infringed,1
179,Adverse Infringement,1
180,Respondents — Federal and State Entities,1
181,Respondents — Same or Related Activities,1
182,Misrepresentation — Relief,1
183,Respondent Clarity — Peter Lei,1
184,Copyright Infringement—Online Service Provider,1
185,Exclusive Rights,1
186,Harm Suffered,1
187,Infringement Dates — Clarity,1
188,License,1
189,Scope of a License,1
190,Harm Suffered and Relief Sought,1
191,Improper Claim Form,1
192,Misrepresentation — Reliance By Online Service Provider,1
193,Multiple Claimants — Elements,1
194,Claimant Harm,1
195,Words that Made Up the Misrepresentation — Clarity,1
196,Reliance by Online Service Provider,1
197,Multiple Claims — Clarity,1
198,Copyright Infringement — Harm,1
199,Supplementary Documentation,1
200,Relief Over CCB Statutory Maximum,1
201,Authorized Use,1
202,Access and Substantial Similarity,1
203,Online Service Providers,1
204,Misrepresentation Harm,1
205,Copyright Infringement Claim — Element of Unauthorized Use,1
206,Relief Over Statutory Maximum,1
207,Noninfringement — Infringement Accusations,1
208,Copyright Infringement — Relief,1
209,Current Litigation,1
210,Copyright Registrations,1
211,"Pending Litigation — Hard Lens Media, Inc.",1
212,Respondent Clarity Regarding Odysee,1
213,Noninfringement Claim — Dispute,1
214,Copyright Registration — Other Works,1
215,Access — Other Works,1
216,Substantial Similarity — Other Works,1
217,Copyright Infringement — Co—Ownership,1
218,Missing Allegations,1
219,Noninfringement,1
220,Permissible Claim — Noninfringement v. Infringement,1
221,Copyright Infringement Claim — Permissible Remedies,1
222,Copyright Infringement Claim — Foreign Respondents,1
223,Copyright Infringement Claim — Unrelated Respondents,1
224,Work Infringed — Author,1
225,Copyright Infringement Claim — Ownership,1
226,Copyright Infringement Claim — Legal or Beneficial Ownership Clarity,1
227,Registration Numbers,1
228,Clarity (Sound Recording),1
229,Copyright Registration — Deposit,1
230,Access (Literary Work),1
231,Legal or Beneficial Ownership (Musical Compositions),1
232,Registration Information,1
233,Copyright Infringement Claim,1
234,Supplemental Materials,1
235,Copyright Infringement — Co—Owner,1
236,Section 512(f) — Misrepresentation,1
237,Title,1
238,Type of Claim,1
239,Misrepresentation Claim — Explanation,1
240,Copyright Infringement — Ownership and Registration,1
241,Copyright Infringement Claim — Authorship,1
242,Copyright Infringement Claim — Infringement Dates,1
243,Duplicate Supplementary Documents,1
244,Copyright Infringement Claim — Same Infringing Activity,1
245,Infringement Claim — Substantial Similarity,1
246,Claimant & Respondent Information,1
247,Claimant and Respondent Information,1
248,Service Request Number,1
249,Copyright Infringement — Limitation on Damages,1
250,Clarity — Participants and Contact Information,1
251,Copyright Infringement Claim — Deposit,1
252,Copyright Infringement Claim — Improper Relief Sought,1
253,Issue — Misrepresentation Claim — No misrepresentation,1
254,Improper Relief SoughtPage 3,1
255,Sync License,1
256,Infringement Claim — Clarity,1
257,Compulsory License,1
258,Section 512(f) — Misrepresentation by Respondent,1
259,Declaration of Noninfringement,1
260,Clarity — Infringement Dates,1
261,Authorship,1
262,Direct Infringement,1
263,Copyright Infringement — Improper Relief,1
264,Copyright Infringement,1
265,Copyright Infringement — Clarity — Respondent,1
266,Infringement 2,1
267,Copyright Infringement Claim — Photographs,1
268,Pending or Completed Litigation,1
269,Clarity — Infringed Work,1
270,Legal and Beneficial Owner,1
271,Allegedly Infringing Activities for Each Alleged Work,1
272,Copyright Infringement Claim — Works Infringed,1
273,Clarity — Authorship,1
274,Related Respondents,1
275,Improper Registration,1
276,Copyright Infringement Claim — Element of Substantial Similarity,1
277,Claim for a Declaration of Noninfringement — No Accusation by Respondent that Claimant Infringed,1
278,Copyright Infringement Claim — Copyright Ownership,1
279,Claim for a Declaration of Noninfringement — Contradictory Allegations,1
280,Misrepresentation Claim — No DMCA Takedown Notice or Counter—Notice,1
281,Copyright Infringement Claim — Infringing Activities,1
282,Impermissible Claim — Relief Enforcement,1
283,Clarity (Infringing Activity),1
284,Clarity (Respondent),1
285,Impermissible Respondent — Foreign Entity,1
286,Misrepresentation Claim — Relief Sought,1
287,Respondent Information — Address,1
288,Copyright Infringement Claim—Clarity,1
289,Infringement 1,1
290,Noninfringment — Claim Clarity,1
291,Respondent Name and Address,1
292,Permissible Claims,1
293,Reasons Why No Infringement Occurred,1
294,Clarity — Works Infringed,1
295,Allegedly Infringing Works and Activities,1
296,Genuine Dispute,1
297,Copyright Infringement Claim — Relief Requested Over Statutory Maximum,1
298,Clarity — Legal and Beneficial Ownership,1
299,Good—Faith Belief,1
300,Misrepresentation Claim — Relief,1
301,Legal or Beneficial Ownership (“Once In A Lifetime”),1
302,Copyright Infringement — Work Infringed,1
303,Improper Respondent — Federal or State Entity,1
304,Copyright Infringement Claim — Infringed Work,1
305,Improper Respondent — Federal or State entity,1
306,Infringement — Respondent Information,1
307,Expert Witness,1
308,Copyright Infringement — Infringed Work,1
309,Misrepresentation Claim — Lack of Takedown Notice to OSP,1
